"date","hits","keyword","geo","time","gprop","category"
2016-01-03,50,"human rights","world","2016-01-01 2020-12-31","web",0
2016-01-10,56,"human rights","world","2016-01-01 2020-12-31","web",0
2016-01-17,51,"human rights","world","2016-01-01 2020-12-31","web",0
2016-01-24,61,"human rights","world","2016-01-01 2020-12-31","web",0
2016-01-31,61,"human rights","world","2016-01-01 2020-12-31","web",0
2016-02-07,60,"human rights","world","2016-01-01 2020-12-31","web",0
2016-02-14,59,"human rights","world","2016-01-01 2020-12-31","web",0
2016-02-21,65,"human rights","world","2016-01-01 2020-12-31","web",0
2016-02-28,67,"human rights","world","2016-01-01 2020-12-31","web",0
2016-03-06,64,"human rights","world","2016-01-01 2020-12-31","web",0
2016-03-13,63,"human rights","world","2016-01-01 2020-12-31","web",0
2016-03-20,57,"human rights","world","2016-01-01 2020-12-31","web",0
2016-03-27,59,"human rights","world","2016-01-01 2020-12-31","web",0
2016-04-03,62,"human rights","world","2016-01-01 2020-12-31","web",0
2016-04-10,64,"human rights","world","2016-01-01 2020-12-31","web",0
2016-04-17,70,"human rights","world","2016-01-01 2020-12-31","web",0
2016-04-24,77,"human rights","world","2016-01-01 2020-12-31","web",0
2016-05-01,77,"human rights","world","2016-01-01 2020-12-31","web",0
2016-05-08,76,"human rights","world","2016-01-01 2020-12-31","web",0
2016-05-15,70,"human rights","world","2016-01-01 2020-12-31","web",0
2016-05-22,67,"human rights","world","2016-01-01 2020-12-31","web",0
2016-05-29,56,"human rights","world","2016-01-01 2020-12-31","web",0
2016-06-05,55,"human rights","world","2016-01-01 2020-12-31","web",0
2016-06-12,54,"human rights","world","2016-01-01 2020-12-31","web",0
2016-06-19,50,"human rights","world","2016-01-01 2020-12-31","web",0
2016-06-26,47,"human rights","world","2016-01-01 2020-12-31","web",0
2016-07-03,42,"human rights","world","2016-01-01 2020-12-31","web",0
2016-07-10,43,"human rights","world","2016-01-01 2020-12-31","web",0
2016-07-17,45,"human rights","world","2016-01-01 2020-12-31","web",0
2016-07-24,46,"human rights","world","2016-01-01 2020-12-31","web",0
2016-07-31,42,"human rights","world","2016-01-01 2020-12-31","web",0
2016-08-07,45,"human rights","world","2016-01-01 2020-12-31","web",0
2016-08-14,44,"human rights","world","2016-01-01 2020-12-31","web",0
2016-08-21,51,"human rights","world","2016-01-01 2020-12-31","web",0
2016-08-28,50,"human rights","world","2016-01-01 2020-12-31","web",0
2016-09-04,54,"human rights","world","2016-01-01 2020-12-31","web",0
2016-09-11,54,"human rights","world","2016-01-01 2020-12-31","web",0
2016-09-18,61,"human rights","world","2016-01-01 2020-12-31","web",0
2016-09-25,53,"human rights","world","2016-01-01 2020-12-31","web",0
2016-10-02,58,"human rights","world","2016-01-01 2020-12-31","web",0
2016-10-09,48,"human rights","world","2016-01-01 2020-12-31","web",0
2016-10-16,60,"human rights","world","2016-01-01 2020-12-31","web",0
2016-10-23,61,"human rights","world","2016-01-01 2020-12-31","web",0
2016-10-30,64,"human rights","world","2016-01-01 2020-12-31","web",0
2016-11-06,65,"human rights","world","2016-01-01 2020-12-31","web",0
2016-11-13,63,"human rights","world","2016-01-01 2020-12-31","web",0
2016-11-20,55,"human rights","world","2016-01-01 2020-12-31","web",0
2016-11-27,67,"human rights","world","2016-01-01 2020-12-31","web",0
2016-12-04,83,"human rights","world","2016-01-01 2020-12-31","web",0
2016-12-11,59,"human rights","world","2016-01-01 2020-12-31","web",0
2016-12-18,41,"human rights","world","2016-01-01 2020-12-31","web",0
2016-12-25,29,"human rights","world","2016-01-01 2020-12-31","web",0
2017-01-01,48,"human rights","world","2016-01-01 2020-12-31","web",0
2017-01-08,56,"human rights","world","2016-01-01 2020-12-31","web",0
2017-01-15,61,"human rights","world","2016-01-01 2020-12-31","web",0
2017-01-22,61,"human rights","world","2016-01-01 2020-12-31","web",0
2017-01-29,59,"human rights","world","2016-01-01 2020-12-31","web",0
2017-02-05,57,"human rights","world","2016-01-01 2020-12-31","web",0
2017-02-12,53,"human rights","world","2016-01-01 2020-12-31","web",0
2017-02-19,59,"human rights","world","2016-01-01 2020-12-31","web",0
2017-02-26,63,"human rights","world","2016-01-01 2020-12-31","web",0
2017-03-05,66,"human rights","world","2016-01-01 2020-12-31","web",0
2017-03-12,67,"human rights","world","2016-01-01 2020-12-31","web",0
2017-03-19,67,"human rights","world","2016-01-01 2020-12-31","web",0
2017-03-26,64,"human rights","world","2016-01-01 2020-12-31","web",0
2017-04-02,64,"human rights","world","2016-01-01 2020-12-31","web",0
2017-04-09,55,"human rights","world","2016-01-01 2020-12-31","web",0
2017-04-16,63,"human rights","world","2016-01-01 2020-12-31","web",0
2017-04-23,65,"human rights","world","2016-01-01 2020-12-31","web",0
2017-04-30,73,"human rights","world","2016-01-01 2020-12-31","web",0
2017-05-07,77,"human rights","world","2016-01-01 2020-12-31","web",0
2017-05-14,76,"human rights","world","2016-01-01 2020-12-31","web",0
2017-05-21,69,"human rights","world","2016-01-01 2020-12-31","web",0
2017-05-28,54,"human rights","world","2016-01-01 2020-12-31","web",0
2017-06-04,64,"human rights","world","2016-01-01 2020-12-31","web",0
2017-06-11,51,"human rights","world","2016-01-01 2020-12-31","web",0
2017-06-18,44,"human rights","world","2016-01-01 2020-12-31","web",0
2017-06-25,41,"human rights","world","2016-01-01 2020-12-31","web",0
2017-07-02,39,"human rights","world","2016-01-01 2020-12-31","web",0
2017-07-09,43,"human rights","world","2016-01-01 2020-12-31","web",0
2017-07-16,39,"human rights","world","2016-01-01 2020-12-31","web",0
2017-07-23,45,"human rights","world","2016-01-01 2020-12-31","web",0
2017-07-30,45,"human rights","world","2016-01-01 2020-12-31","web",0
2017-08-06,41,"human rights","world","2016-01-01 2020-12-31","web",0
2017-08-13,43,"human rights","world","2016-01-01 2020-12-31","web",0
2017-08-20,42,"human rights","world","2016-01-01 2020-12-31","web",0
2017-08-27,43,"human rights","world","2016-01-01 2020-12-31","web",0
2017-09-03,49,"human rights","world","2016-01-01 2020-12-31","web",0
2017-09-10,58,"human rights","world","2016-01-01 2020-12-31","web",0
2017-09-17,56,"human rights","world","2016-01-01 2020-12-31","web",0
2017-09-24,53,"human rights","world","2016-01-01 2020-12-31","web",0
2017-10-01,58,"human rights","world","2016-01-01 2020-12-31","web",0
2017-10-08,59,"human rights","world","2016-01-01 2020-12-31","web",0
2017-10-15,57,"human rights","world","2016-01-01 2020-12-31","web",0
2017-10-22,58,"human rights","world","2016-01-01 2020-12-31","web",0
2017-10-29,56,"human rights","world","2016-01-01 2020-12-31","web",0
2017-11-05,61,"human rights","world","2016-01-01 2020-12-31","web",0
2017-11-12,56,"human rights","world","2016-01-01 2020-12-31","web",0
2017-11-19,54,"human rights","world","2016-01-01 2020-12-31","web",0
2017-11-26,55,"human rights","world","2016-01-01 2020-12-31","web",0
2017-12-03,59,"human rights","world","2016-01-01 2020-12-31","web",0
2017-12-10,59,"human rights","world","2016-01-01 2020-12-31","web",0
2017-12-17,43,"human rights","world","2016-01-01 2020-12-31","web",0
2017-12-24,28,"human rights","world","2016-01-01 2020-12-31","web",0
2017-12-31,36,"human rights","world","2016-01-01 2020-12-31","web",0
2018-01-07,56,"human rights","world","2016-01-01 2020-12-31","web",0
2018-01-14,52,"human rights","world","2016-01-01 2020-12-31","web",0
2018-01-21,47,"human rights","world","2016-01-01 2020-12-31","web",0
2018-01-28,58,"human rights","world","2016-01-01 2020-12-31","web",0
2018-02-04,56,"human rights","world","2016-01-01 2020-12-31","web",0
2018-02-11,57,"human rights","world","2016-01-01 2020-12-31","web",0
2018-02-18,54,"human rights","world","2016-01-01 2020-12-31","web",0
2018-02-25,58,"human rights","world","2016-01-01 2020-12-31","web",0
2018-03-04,56,"human rights","world","2016-01-01 2020-12-31","web",0
2018-03-11,59,"human rights","world","2016-01-01 2020-12-31","web",0
