"date","hits","keyword","geo","time","gprop","category"
2018-01-07,50,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-14,50,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-21,49,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-28,53,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-04,55,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-11,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-18,61,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-25,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-04,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-11,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-18,65,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-25,51,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-01,53,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-08,55,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-15,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-22,60,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-29,62,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-06,62,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-13,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-20,60,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-27,51,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-03,48,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-10,47,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-17,100,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-24,41,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-01,37,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-08,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-15,40,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-22,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-29,40,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-05,41,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-12,41,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-19,44,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-26,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-02,51,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-09,51,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-16,52,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-23,53,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-30,49,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-07,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-14,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-21,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-28,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-04,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-11,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-18,55,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-25,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-02,64,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-09,76,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-16,41,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-23,27,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-30,33,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-06,51,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-13,51,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-20,48,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-27,51,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-03,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-10,56,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-17,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-24,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-03,58,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-10,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-17,57,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-24,55,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-31,57,"human rights","world","2018-01-01 2022-12-31","web",0
2019-04-07,55,"human rights","world","2018-01-01 2022-12-31","web",0
2019-04-14,45,"human rights","world","2018-01-01 2022-12-31","web",0
2019-04-21,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-04-28,60,"human rights","world","2018-01-01 2022-12-31","web",0
2019-05-05,58,"human rights","world","2018-01-01 2022-12-31","web",0
2019-05-12,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-05-19,50,"human rights","world","2018-01-01 2022-12-31","web",0
2019-05-26,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-06-02,44,"human rights","world","2018-01-01 2022-12-31","web",0
2019-06-09,46,"human rights","world","2018-01-01 2022-12-31","web",0
2019-06-16,42,"human rights","world","2018-01-01 2022-12-31","web",0
2019-06-23,44,"human rights","world","2018-01-01 2022-12-31","web",0
2019-06-30,38,"human rights","world","2018-01-01 2022-12-31","web",0
2019-07-07,43,"human rights","world","2018-01-01 2022-12-31","web",0
2019-07-14,42,"human rights","world","2018-01-01 2022-12-31","web",0
2019-07-21,36,"human rights","world","2018-01-01 2022-12-31","web",0
2019-07-28,39,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-04,44,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-11,40,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-18,43,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-25,44,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-01,46,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-08,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-15,52,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-22,52,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-29,47,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-06,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-13,64,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-20,56,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-27,49,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-03,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-10,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-17,68,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-24,60,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-01,62,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-08,86,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-15,44,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-22,28,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-29,33,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-05,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-12,52,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-19,48,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-26,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-02-02,52,"human rights","world","2018-01-01 2022-12-31","web",0
2020-02-09,56,"human rights","world","2018-01-01 2022-12-31","web",0
