"date","hits","keyword","geo","time","gprop","category"
2019-07-28,41,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-04,37,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-11,44,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-18,42,"human rights","world","2018-01-01 2022-12-31","web",0
2019-08-25,45,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-01,49,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-08,55,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-15,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-22,50,"human rights","world","2018-01-01 2022-12-31","web",0
2019-09-29,46,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-06,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-13,59,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-20,58,"human rights","world","2018-01-01 2022-12-31","web",0
2019-10-27,50,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-03,58,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-10,63,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-17,65,"human rights","world","2018-01-01 2022-12-31","web",0
2019-11-24,58,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-01,62,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-08,85,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-15,46,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-22,28,"human rights","world","2018-01-01 2022-12-31","web",0
2019-12-29,33,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-05,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-12,51,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-19,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-01-26,51,"human rights","world","2018-01-01 2022-12-31","web",0
2020-02-02,52,"human rights","world","2018-01-01 2022-12-31","web",0
2020-02-09,57,"human rights","world","2018-01-01 2022-12-31","web",0
2020-02-16,54,"human rights","world","2018-01-01 2022-12-31","web",0
2020-02-23,64,"human rights","world","2018-01-01 2022-12-31","web",0
2020-03-01,59,"human rights","world","2018-01-01 2022-12-31","web",0
2020-03-08,50,"human rights","world","2018-01-01 2022-12-31","web",0
2020-03-15,43,"human rights","world","2018-01-01 2022-12-31","web",0
2020-03-22,38,"human rights","world","2018-01-01 2022-12-31","web",0
2020-03-29,41,"human rights","world","2018-01-01 2022-12-31","web",0
2020-04-05,43,"human rights","world","2018-01-01 2022-12-31","web",0
2020-04-12,42,"human rights","world","2018-01-01 2022-12-31","web",0
2020-04-19,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-04-26,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-05-03,47,"human rights","world","2018-01-01 2022-12-31","web",0
2020-05-10,46,"human rights","world","2018-01-01 2022-12-31","web",0
2020-05-17,45,"human rights","world","2018-01-01 2022-12-31","web",0
2020-05-24,47,"human rights","world","2018-01-01 2022-12-31","web",0
2020-05-31,56,"human rights","world","2018-01-01 2022-12-31","web",0
2020-06-07,50,"human rights","world","2018-01-01 2022-12-31","web",0
2020-06-14,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-06-21,46,"human rights","world","2018-01-01 2022-12-31","web",0
2020-06-28,46,"human rights","world","2018-01-01 2022-12-31","web",0
2020-07-05,44,"human rights","world","2018-01-01 2022-12-31","web",0
2020-07-12,38,"human rights","world","2018-01-01 2022-12-31","web",0
2020-07-19,42,"human rights","world","2018-01-01 2022-12-31","web",0
2020-07-26,42,"human rights","world","2018-01-01 2022-12-31","web",0
2020-08-02,40,"human rights","world","2018-01-01 2022-12-31","web",0
2020-08-09,40,"human rights","world","2018-01-01 2022-12-31","web",0
2020-08-16,46,"human rights","world","2018-01-01 2022-12-31","web",0
2020-08-23,47,"human rights","world","2018-01-01 2022-12-31","web",0
2020-08-30,44,"human rights","world","2018-01-01 2022-12-31","web",0
2020-09-06,53,"human rights","world","2018-01-01 2022-12-31","web",0
2020-09-13,58,"human rights","world","2018-01-01 2022-12-31","web",0
2020-09-20,56,"human rights","world","2018-01-01 2022-12-31","web",0
2020-09-27,54,"human rights","world","2018-01-01 2022-12-31","web",0
2020-10-04,53,"human rights","world","2018-01-01 2022-12-31","web",0
2020-10-11,54,"human rights","world","2018-01-01 2022-12-31","web",0
2020-10-18,52,"human rights","world","2018-01-01 2022-12-31","web",0
2020-10-25,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-11-01,45,"human rights","world","2018-01-01 2022-12-31","web",0
2020-11-08,50,"human rights","world","2018-01-01 2022-12-31","web",0
2020-11-15,51,"human rights","world","2018-01-01 2022-12-31","web",0
2020-11-22,47,"human rights","world","2018-01-01 2022-12-31","web",0
2020-11-29,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-12-06,87,"human rights","world","2018-01-01 2022-12-31","web",0
2020-12-13,49,"human rights","world","2018-01-01 2022-12-31","web",0
2020-12-20,33,"human rights","world","2018-01-01 2022-12-31","web",0
2020-12-27,29,"human rights","world","2018-01-01 2022-12-31","web",0
2021-01-03,41,"human rights","world","2018-01-01 2022-12-31","web",0
2021-01-10,46,"human rights","world","2018-01-01 2022-12-31","web",0
2021-01-17,46,"human rights","world","2018-01-01 2022-12-31","web",0
2021-01-24,47,"human rights","world","2018-01-01 2022-12-31","web",0
2021-01-31,48,"human rights","world","2018-01-01 2022-12-31","web",0
2021-02-07,48,"human rights","world","2018-01-01 2022-12-31","web",0
2021-02-14,46,"human rights","world","2018-01-01 2022-12-31","web",0
2021-02-21,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-02-28,48,"human rights","world","2018-01-01 2022-12-31","web",0
2021-03-07,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-03-14,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-03-21,61,"human rights","world","2018-01-01 2022-12-31","web",0
2021-03-28,45,"human rights","world","2018-01-01 2022-12-31","web",0
2021-04-04,45,"human rights","world","2018-01-01 2022-12-31","web",0
2021-04-11,45,"human rights","world","2018-01-01 2022-12-31","web",0
2021-04-18,46,"human rights","world","2018-01-01 2022-12-31","web",0
2021-04-25,51,"human rights","world","2018-01-01 2022-12-31","web",0
2021-05-02,49,"human rights","world","2018-01-01 2022-12-31","web",0
2021-05-09,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-05-16,53,"human rights","world","2018-01-01 2022-12-31","web",0
2021-05-23,53,"human rights","world","2018-01-01 2022-12-31","web",0
2021-05-30,54,"human rights","world","2018-01-01 2022-12-31","web",0
2021-06-06,56,"human rights","world","2018-01-01 2022-12-31","web",0
2021-06-13,51,"human rights","world","2018-01-01 2022-12-31","web",0
2021-06-20,48,"human rights","world","2018-01-01 2022-12-31","web",0
2021-06-27,43,"human rights","world","2018-01-01 2022-12-31","web",0
2021-07-04,40,"human rights","world","2018-01-01 2022-12-31","web",0
2021-07-11,42,"human rights","world","2018-01-01 2022-12-31","web",0
2021-07-18,39,"human rights","world","2018-01-01 2022-12-31","web",0
2021-07-25,36,"human rights","world","2018-01-01 2022-12-31","web",0
2021-08-01,38,"human rights","world","2018-01-01 2022-12-31","web",0
2021-08-08,39,"human rights","world","2018-01-01 2022-12-31","web",0
2021-08-15,42,"human rights","world","2018-01-01 2022-12-31","web",0
