"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"COM","Comoros",813892,"Comoros",8,0,10,0.982931396303195,"Comoros","Comoros",NA,"paludisme","world","web"
"CPV","Cabo Verde",537497,"Cabo Verde",1,NA,NA,0.186047550032837,"Cape Verde","Cape Verde",NA,"paludisme","world","web"
"CRI","Costa Rica",4949954,"Costa Rica",0,NA,NA,0,"Costa Rica","Costa Rica",NA,"paludisme","world","web"
"CSS","Caribbean small states",7314990,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"CUB","Cuba",11339259,NA,NA,NA,NA,0,"Cuba","Cuba",NA,"paludisme","world","web"
"CUW","Curacao",160175,NA,NA,NA,NA,0,"Curacao","Curaçao",NA,"paludisme","world","web"
"CXR",NA,NA,NA,NA,NA,NA,NA,"Christmas Island","Christmas Island",NA,"paludisme","world","web"
"CYM","Cayman Islands",63382,NA,NA,NA,NA,0,"Cayman Islands","Cayman Islands",NA,"paludisme","world","web"
"CYP","Cyprus",1179680,NA,NA,NA,NA,0,"Cyprus","Cyprus",NA,"paludisme","world","web"
"CZE","Czech Republic",10594438,NA,NA,NA,NA,0,"Czech Republic","Czechia",NA,"paludisme","world","web"
"DEU","Germany",82657002,NA,NA,NA,NA,0,"Germany","Germany",0.5,"paludisme","world","web"
"DJI","Djibouti",944097,"Djibouti",0,NA,NA,0,"Djibouti","Djibouti",31,"paludisme","world","web"
"DMA","Dominica",71458,NA,NA,NA,NA,0,"Dominica","Dominica",NA,"paludisme","world","web"
"DNK","Denmark",5764980,NA,NA,NA,NA,0,"Denmark","Denmark",NA,"paludisme","world","web"
"DOM","Dominican Republic",10513131,"Dominican Republic",1,0,1,0.00951191419568538,"Dominican Republic","Dominican Republic",NA,"paludisme","world","web"
"DZA","Algeria",41389198,"Algeria",0,NA,NA,0,"Algeria","Algeria",2,"paludisme","world","web"
"EAP","East Asia & Pacific (excluding high income)",2068155660,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"EAR","Early-demographic dividend",3207188541,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"EAS","East Asia & Pacific",2314202003,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ECA","Europe & Central Asia (excluding high income)",415710935,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ECS","Europe & Central Asia",915420161,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
