"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"GLP",NA,NA,NA,NA,NA,NA,NA,"Guadeloupe","Guadeloupe",NA,"malaria","world","web"
"GMB","Gambia, The",2213894,"Gambia",674,580,760,30.4440953360911,"Gambia","Gambia",NA,"malaria","world","web"
"GNB","Guinea-Bissau",1828146,"Guinea-Bissau",688,590,780,37.6337557284812,"Guinea-Bissau","Guinea-Bissau",NA,"malaria","world","web"
"GNQ","Equatorial Guinea",1262001,"Equatorial Guinea",669,530,810,53.0110514967896,"Equatorial Guinea","Equatorial Guinea",NA,"malaria","world","web"
"GRC","Greece",10754679,NA,NA,NA,NA,0,"Greece","Greece",NA,"malaria","world","web"
"GRD","Grenada",110874,NA,NA,NA,NA,0,"Grenada","Grenada",NA,"malaria","world","web"
"GRL","Greenland",56171,NA,NA,NA,NA,0,"Greenland","Greenland",NA,"malaria","world","web"
"GTM","Guatemala",16914936,"Guatemala",1,0,3,0.00591193487223363,"Guatemala","Guatemala",5,"malaria","world","web"
"GUF",NA,NA,NA,NA,NA,NA,NA,"French Guiana","French Guiana",NA,"malaria","world","web"
"GUM","Guam",164281,NA,NA,NA,NA,0,"Guam","Guam",NA,"malaria","world","web"
"GUY","Guyana",775221,"Guyana",33,3,60,4.25685062711149,"Guyana","Guyana",NA,"malaria","world","web"
"HIC","High income",1204429565,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"HKG","Hong Kong SAR, China",7391700,NA,NA,NA,NA,0,NA,"Hong Kong",2,"malaria","world","web"
"HMD",NA,NA,NA,NA,NA,NA,NA,NA,"Heard & McDonald Islands",NA,"malaria","world","web"
"HND","Honduras",9429013,"Honduras",1,0,1,0.0106055639121507,"Honduras","Honduras",9,"malaria","world","web"
"HPC","Heavily indebted poor countries (HIPC)",759106221,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"HRV","Croatia",4124531,NA,NA,NA,NA,0,"Croatia","Croatia",NA,"malaria","world","web"
"HTI","Haiti",10982366,"Haiti",81,2,160,0.737545989634656,"Haiti","Haiti",NA,"malaria","world","web"
"HUN","Hungary",9787966,NA,NA,NA,NA,0,"Hungary","Hungary",NA,"malaria","world","web"
"IBD","IBRD only",4731120193,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IBT","IDA & IBRD total",6335039629,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDA","IDA total",1603919436,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDB","IDA blend",543525897,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDN","Indonesia",264645886,"Indonesia",2680,200,5110,1.01267396992523,"Indonesia","Indonesia",11,"malaria","world","web"
"IDX","IDA only",1060393539,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IMN","Isle of Man",83598,NA,NA,NA,NA,0,"Isle of Man","Isle of Man",NA,"malaria","world","web"
"IND","India",1338658835,"India",16733,1200,31900,1.24998241243446,"India","India",9,"malaria","world","web"
"IOT",NA,NA,NA,NA,NA,NA,NA,NA,"British Indian Ocean Territory",NA,"malaria","world","web"
"IRL","Ireland",4807388,NA,NA,NA,NA,0,"Ireland","Ireland",4,"malaria","world","web"
"IRN","Iran, Islamic Rep.",80673951,"Iran (Islamic Republic of)",0,NA,NA,0,"Iran","Iran",NA,"malaria","world","web"
