"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"BHS","Bahamas, The",381761,NA,NA,NA,NA,0,"Bahamas","Bahamas",NA,"malária","world","web"
"BIH","Bosnia and Herzegovina",3351527,NA,NA,NA,NA,0,"Bosnia and Herzegovina","Bosnia & Herzegovina",NA,"malária","world","web"
"BLM",NA,NA,NA,NA,NA,NA,NA,"Saint Barthelemy","St. Barthélemy",NA,"malária","world","web"
"BLR","Belarus",9498264,NA,NA,NA,NA,0,"Belarus","Belarus",NA,"malária","world","web"
"BLZ","Belize",375769,"Belize",0,NA,NA,0,"Belize","Belize",NA,"malária","world","web"
"BMU","Bermuda",63874,NA,NA,NA,NA,0,"Bermuda","Bermuda",NA,"malária","world","web"
"BOL","Bolivia",11192854,"Bolivia (Plurinational State of)",2,0,4,0.0178685436261386,"Bolivia","Bolivia",NA,"malária","world","web"
"BRA","Brazil",207833831,"Brazil",30,NA,NA,0.0144346085791971,"Brazil","Brazil",8,"malária","world","web"
"BRB","Barbados",286233,NA,NA,NA,NA,0,"Barbados","Barbados",NA,"malária","world","web"
"BRN","Brunei Darussalam",424473,NA,NA,NA,NA,0,"Brunei","Brunei",NA,"malária","world","web"
"BTN","Bhutan",745568,"Bhutan",0,NA,NA,0,"Bhutan","Bhutan",NA,"malária","world","web"
"BVT",NA,NA,NA,NA,NA,NA,NA,NA,"Bouvet Island",NA,"malária","world","web"
"BWA","Botswana",2205128,"Botswana",7,0,20,0.317441889994594,"Botswana","Botswana",NA,"malária","world","web"
"CAF","Central African Republic",4596028,"Central African Republic",4804,3980,5640,104.525037706472,"Central African Republic","Central African Republic",NA,"malária","world","web"
"CAN","Canada",36540268,NA,NA,NA,NA,0,"Canada","Canada",NA,"malária","world","web"
"CCK",NA,NA,NA,NA,NA,NA,NA,"Cocos Islands","Cocos (Keeling) Islands",NA,"malária","world","web"
"CEB","Central Europe and the Baltics",102738854,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"CHE","Switzerland",8451840,NA,NA,NA,NA,0,"Switzerland","Switzerland",NA,"malária","world","web"
"CHI","Channel Islands",168665,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"CHL","Chile",18470439,NA,NA,NA,NA,0,"Chile","Chile",NA,"malária","world","web"
"CHN","China",1386395000,"China",0,NA,NA,0,"China","China",NA,"malária","world","web"
"CIV","Cote d'Ivoire",24437469,"Cote d'Ivoire",9579,8090,11100,39.1980036885162,"Ivory Coast","Côte d’Ivoire",NA,"malária","world","web"
"CMR","Cameroon",24566045,"Cameroon",11566,8900,14200,47.0812456787407,"Cameroon","Cameroon",NA,"malária","world","web"
"COD","Congo, Dem. Rep.",81398764,"Democratic Republic of the Congo",46007,35400,56600,56.5205142426978,"Democratic Republic of the Congo","Congo - Kinshasa",NA,"malária","world","web"
"COG","Congo, Rep.",5110702,"Congo",1993,1790,2190,38.9965996843486,"Republic of Congo","Congo - Brazzaville",NA,"malária","world","web"
"COK",NA,NA,NA,NA,NA,NA,NA,"Cook Islands","Cook Islands",NA,"malária","world","web"
"COL","Colombia",48901066,"Colombia",0,NA,NA,0,"Colombia","Colombia",NA,"malária","world","web"
"COM","Comoros",813892,"Comoros",8,0,10,0.982931396303195,"Comoros","Comoros",NA,"malária","world","web"
"CPV","Cabo Verde",537497,"Cabo Verde",1,NA,NA,0.186047550032837,"Cape Verde","Cape Verde",NA,"malária","world","web"
"CRI","Costa Rica",4949954,"Costa Rica",0,NA,NA,0,"Costa Rica","Costa Rica",NA,"malária","world","web"
"CSS","Caribbean small states",7314990,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"CUB","Cuba",11339259,NA,NA,NA,NA,0,"Cuba","Cuba",NA,"malária","world","web"
"CUW","Curacao",160175,NA,NA,NA,NA,0,"Curacao","Curaçao",NA,"malária","world","web"
"CXR",NA,NA,NA,NA,NA,NA,NA,"Christmas Island","Christmas Island",NA,"malária","world","web"
"CYM","Cayman Islands",63382,NA,NA,NA,NA,0,"Cayman Islands","Cayman Islands",NA,"malária","world","web"
"CYP","Cyprus",1179680,NA,NA,NA,NA,0,"Cyprus","Cyprus",NA,"malária","world","web"
"CZE","Czech Republic",10594438,NA,NA,NA,NA,0,"Czech Republic","Czechia",NA,"malária","world","web"
"DEU","Germany",82657002,NA,NA,NA,NA,0,"Germany","Germany",NA,"malária","world","web"
"DJI","Djibouti",944097,"Djibouti",0,NA,NA,0,"Djibouti","Djibouti",NA,"malária","world","web"
"DMA","Dominica",71458,NA,NA,NA,NA,0,"Dominica","Dominica",NA,"malária","world","web"
"DNK","Denmark",5764980,NA,NA,NA,NA,0,"Denmark","Denmark",NA,"malária","world","web"
"DOM","Dominican Republic",10513131,"Dominican Republic",1,0,1,0.00951191419568538,"Dominican Republic","Dominican Republic",NA,"malária","world","web"
"DZA","Algeria",41389198,"Algeria",0,NA,NA,0,"Algeria","Algeria",NA,"malária","world","web"
"EAP","East Asia & Pacific (excluding high income)",2068155660,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"EAR","Early-demographic dividend",3207188541,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"EAS","East Asia & Pacific",2314202003,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ECA","Europe & Central Asia (excluding high income)",415710935,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ECS","Europe & Central Asia",915420161,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ECU","Ecuador",16785361,"Ecuador",0,NA,NA,0,"Ecuador","Ecuador",NA,"malária","world","web"
"EGY","Egypt, Arab Rep.",96442593,"Egypt",0,NA,NA,0,"Egypt","Egypt",NA,"malária","world","web"
"EMU","Euro area",341164362,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ERI",NA,NA,"Eritrea",222,10,460,0,"Eritrea","Eritrea",NA,"malária","world","web"
"ESH",NA,NA,NA,NA,NA,NA,NA,"Western Sahara","Western Sahara",NA,"malária","world","web"
"ESP","Spain",46593236,NA,NA,NA,NA,0,"Spain","Spain",NA,"malária","world","web"
"EST","Estonia",1317384,NA,NA,NA,NA,0,"Estonia","Estonia",NA,"malária","world","web"
"ETH","Ethiopia",106400024,"Ethiopia",5369,80,16700,5.04605149337184,"Ethiopia","Ethiopia",NA,"malária","world","web"
"EUU","European Union",512191098,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"FCS","Fragile and conflict affected situations",504119229,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"FIN","Finland",5508214,NA,NA,NA,NA,0,"Finland","Finland",NA,"malária","world","web"
"FJI","Fiji",877459,NA,NA,NA,NA,0,"Fiji","Fiji",NA,"malária","world","web"
"FLK",NA,NA,NA,NA,NA,NA,NA,"Falkland Islands","Falkland Islands (Islas Malvinas)",NA,"malária","world","web"
"FRA","France",66865144,NA,NA,NA,NA,0,"France","France",NA,"malária","world","web"
"FRO","Faroe Islands",48331,NA,NA,NA,NA,0,"Faroe Islands","Faroe Islands",NA,"malária","world","web"
"FSM","Micronesia, Fed. Sts.",111459,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"GAB","Gabon",2064823,"Gabon",505,450,560,24.4573021513224,"Gabon","Gabon",NA,"malária","world","web"
"GBR","United Kingdom",66058859,NA,NA,NA,NA,0,"UK","United Kingdom",NA,"malária","world","web"
"GEO","Georgia",3728004,"Georgia",0,NA,NA,0,"Georgia","Georgia",NA,"malária","world","web"
"GGY",NA,NA,NA,NA,NA,NA,NA,"Guernsey","Guernsey",NA,"malária","world","web"
"GHA","Ghana",29121471,"Ghana",10917,10100,11800,37.4878041016541,"Ghana","Ghana",NA,"malária","world","web"
"GIB","Gibraltar",33728,NA,NA,NA,NA,0,NA,"Gibraltar",NA,"malária","world","web"
"GIN","Guinea",12067539,"Guinea",7562,6180,8950,62.6639781317467,"Guinea","Guinea",NA,"malária","world","web"
"GLP",NA,NA,NA,NA,NA,NA,NA,"Guadeloupe","Guadeloupe",NA,"malária","world","web"
"GMB","Gambia, The",2213894,"Gambia",674,580,760,30.4440953360911,"Gambia","Gambia",NA,"malária","world","web"
"GNB","Guinea-Bissau",1828146,"Guinea-Bissau",688,590,780,37.6337557284812,"Guinea-Bissau","Guinea-Bissau",NA,"malária","world","web"
"GNQ","Equatorial Guinea",1262001,"Equatorial Guinea",669,530,810,53.0110514967896,"Equatorial Guinea","Equatorial Guinea",NA,"malária","world","web"
"GRC","Greece",10754679,NA,NA,NA,NA,0,"Greece","Greece",NA,"malária","world","web"
"GRD","Grenada",110874,NA,NA,NA,NA,0,"Grenada","Grenada",NA,"malária","world","web"
"GRL","Greenland",56171,NA,NA,NA,NA,0,"Greenland","Greenland",NA,"malária","world","web"
"GTM","Guatemala",16914936,"Guatemala",1,0,3,0.00591193487223363,"Guatemala","Guatemala",NA,"malária","world","web"
"GUF",NA,NA,NA,NA,NA,NA,NA,"French Guiana","French Guiana",NA,"malária","world","web"
"GUM","Guam",164281,NA,NA,NA,NA,0,"Guam","Guam",NA,"malária","world","web"
"GUY","Guyana",775221,"Guyana",33,3,60,4.25685062711149,"Guyana","Guyana",NA,"malária","world","web"
"HIC","High income",1204429565,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"HKG","Hong Kong SAR, China",7391700,NA,NA,NA,NA,0,NA,"Hong Kong",NA,"malária","world","web"
"HMD",NA,NA,NA,NA,NA,NA,NA,NA,"Heard & McDonald Islands",NA,"malária","world","web"
"HND","Honduras",9429013,"Honduras",1,0,1,0.0106055639121507,"Honduras","Honduras",NA,"malária","world","web"
"HPC","Heavily indebted poor countries (HIPC)",759106221,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"HRV","Croatia",4124531,NA,NA,NA,NA,0,"Croatia","Croatia",NA,"malária","world","web"
"HTI","Haiti",10982366,"Haiti",81,2,160,0.737545989634656,"Haiti","Haiti",NA,"malária","world","web"
