"","year","ISO","CCODE","language_type","hits_mean","hits_median","hits_max","hits_sd","HRINGO_count","theta_mean","Amnesty","State","HRW","gdp_growth","gdp_pc_currentus","gini","literacy_per","rat_sum"
"782",2013,"CH",225,"French",1.07423076923077,1.08,1.98,0.289890758017068,NA,2.3138601589222,NA,1,NA,1.8520398,85112.461,32.5,NA,16
"783",2014,"CH",225,"French",1.15269230769231,1.05,6,0.760371723810822,NA,2.38948682930874,1,1,NA,2.449218,86605.563,32.5,NA,17
"784",2015,"CH",225,"French",1.07192307692308,1.08,1.86,0.286404612061249,10,2.40593105983181,1,1,NA,1.2263844,82016.023,32.299999,NA,17
"785",2016,"CH",225,"French",1.68461538461538,1.62,3.6,0.489154779379743,NA,NA,NA,NA,NA,1.3758845,79866.031,NA,NA,18
"786",2012,"CA",20,"French",1.76509433962264,1.9,2.5,0.477431520025121,19,2.34821416527998,1,1,NA,1.7454723,52496.695,NA,NA,17
"787",2013,"CA",20,"French",1.575,1.7,2.25,0.454336404690897,NA,2.46204522065777,NA,1,1,2.4750018,52418.316,34,NA,17
"788",2014,"CA",20,"French",1.60288461538462,1.6,5,0.648029703199831,NA,2.56197467995914,1,1,1,2.8557391,50633.207,NA,NA,17
"789",2015,"CA",20,"French",1.58076923076923,1.675,2.4,0.435457146104544,18,2.59342745890074,1,1,1,1.0008825,43525.371,NA,NA,17
"790",2016,"CA",20,"French",1.70673076923077,1.8,2.6,0.43397714385395,NA,NA,NA,NA,NA,1.4141028,42348.945,NA,NA,17
"791",2012,"ES",230,"French",0.161981132075472,0.155,0.5,0.0828247664943742,8,1.66868573356947,2,1,NA,-2.9277506,28563.859,35.400002,97.894539,21
"792",2013,"ES",230,"French",0.155096153846154,0.145,0.335,0.0673263225670855,NA,1.76339930423866,NA,1,1,-1.705705,29211.773,36.200001,98.079132,22
"793",2014,"ES",230,"French",0.169711538461538,0.155,0.495,0.0844498543721011,NA,1.72016546586122,2,1,NA,1.3799973,29623.164,36.099998,98.093719,22
"794",2015,"ES",230,"French",0.16125,0.1475,0.3,0.0630349653981431,10,1.69144677069148,2,1,NA,3.4322534,25789.52,36.200001,98.143257,22
"795",2016,"ES",230,"French",0.241346153846154,0.23,0.455,0.0865805495105251,NA,NA,NA,NA,NA,3.2744627,26616.758,NA,98.250511,22
"796",2012,"NL",210,"French",0.131037735849057,0.115,0.47,0.098436618081842,9,3.14808599231774,1,1,NA,-1.0570374,49474.707,27.6,NA,18
"797",2013,"NL",210,"French",0.109326923076923,0.1,0.265,0.0653049321483142,NA,3.17033754142459,NA,1,1,-0.19033919,51574.488,28.1,NA,18
"798",2014,"NL",210,"French",0.124326923076923,0.125,0.34,0.0725044207317114,NA,3.18662724807416,1,1,NA,1.4196903,52157.406,28.6,NA,18
"799",2015,"NL",210,"French",0.147115384615385,0.155,0.325,0.0657113873338508,10,3.19398579743681,1,1,NA,2.260757,44746.336,28.200001,NA,18
"800",2016,"NL",210,"French",0.204038461538462,0.19,0.5,0.0991188554782198,NA,NA,NA,NA,NA,2.2099416,45637.887,NA,NA,19
"801",2012,"IT",325,"French",0.122547169811321,0.115,0.31,0.0619058112214826,9,1.14097358638982,1,2,NA,-2.8190138,34814.125,35.200001,NA,16
"802",2013,"IT",325,"French",0.108173076923077,0.095,0.295,0.061413328423022,NA,1.12670031926539,NA,2,2,-1.7281609,35370.273,34.900002,NA,17
"803",2014,"IT",325,"French",0.111346153846154,0.095,0.335,0.0599110074063728,NA,1.20962155899607,2,2,NA,0.11367324,35396.664,34.700001,NA,17
"804",2015,"IT",325,"French",0.125769230769231,0.1175,0.215,0.0454647527275048,10,1.32693232317688,2,1,NA,0.95195889,30180.322,35.400002,NA,19
"805",2016,"IT",325,"French",0.21875,0.205,0.5,0.0987811752725958,NA,NA,NA,NA,NA,0.85826266,30668.98,NA,NA,20
"806",2012,"GB",200,"French",0.269622641509434,0.265,0.455,0.0961061565335826,16,2.13078789160728,1,1,NA,1.4813298,41790.777,32.299999,NA,18
"807",2013,"GB",200,"French",0.216538461538462,0.1875,0.49,0.100876251415026,NA,2.23482722295798,NA,1,1,2.0523884,42724.066,33.200001,NA,18
"808",2014,"GB",200,"French",0.214038461538462,0.2125,0.41,0.0751797744855914,NA,2.32668506322108,1,1,NA,3.054251,46783.469,34,NA,18
"809",2015,"GB",200,"French",0.203557692307692,0.205,0.395,0.0758373940205295,16,2.3644040991,1,1,NA,2.3459394,44305.555,33.200001,NA,18
"810",2016,"GB",200,"French",0.303557692307692,0.3,0.5,0.0934540703929021,NA,NA,NA,NA,NA,1.9357909,40412.035,NA,NA,18
"811",2012,"DE",255,"French",0.159433962264151,0.15,0.29,0.0596758904525625,11,2.62097639121628,1,1,NA,0.49199283,44065.25,NA,NA,20
"812",2013,"DE",255,"French",0.165673076923077,0.155,0.285,0.0601878501040769,NA,2.66801883399716,NA,1,1,0.48958448,46530.91,31.1,NA,21
"813",2014,"DE",255,"French",0.17625,0.17,0.39,0.0645335829884978,NA,2.71335147075538,1,1,NA,1.9296904,48042.563,NA,NA,21
"814",2015,"DE",255,"French",0.175192307692308,0.17,0.325,0.0641227494614174,12,2.73362222280007,1,1,NA,1.7432054,41323.922,31.700001,NA,21
"815",2016,"DE",255,"French",0.234038461538462,0.24,0.5,0.100508698587258,NA,NA,NA,NA,NA,1.9436255,42232.574,NA,NA,21
"816",2012,"US",2,"French",0.242452830188679,0.235,0.5,0.0998153229407142,39,0.348240359699347,3,NA,NA,2.224031,51450.961,NA,NA,6
"817",2013,"US",2,"French",0.199903846153846,0.19,0.385,0.0721279526504426,NA,0.473516343660383,NA,NA,NA,1.6773316,52782.086,41,NA,6
"818",2014,"US",2,"French",0.176057692307692,0.165,0.4,0.0701073164656951,NA,0.583498773291786,2,NA,2,2.5691936,54696.727,NA,NA,6
"819",2015,"US",2,"French",0.204230769230769,0.195,0.4,0.0703101296315719,39,0.524456320617327,2,NA,3,2.861587,56443.816,NA,NA,6
"820",2016,"US",2,"French",0.258173076923077,0.2675,0.455,0.0856006966147773,NA,NA,NA,NA,NA,1.4852792,57588.539,41.5,NA,6
"821",2012,"BR",140,"French",0.0977358490566038,0.14,0.475,0.110399475845919,11,-0.948658639885709,4,4,NA,1.9331079,12291.467,52.599998,91.337852,19
"822",2013,"BR",140,"French",0.113076923076923,0.125,0.475,0.107512670690363,NA,-0.979773563009183,NA,4,4,3.0103056,12216.904,52.799999,91.484238,19
"823",2014,"BR",140,"French",0.121538461538462,0.12,0.5,0.0996540017276367,NA,-0.989835749837359,4,4,4,0.50821024,12026.619,51.5,91.729431,19
"824",2015,"BR",140,"French",0.132307692307692,0.115,0.475,0.104756774962064,12,-1.00026480013953,4,4,4,-3.5497673,8750.2227,51.299999,NA,19
"825",2016,"BR",140,"French",0.147307692307692,0.115,0.435,0.102524322979541,NA,NA,NA,NA,NA,-3.4681628,8639.3662,NA,NA,19
